	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 18:25:13 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
           16384       4  1694860  4930437  7623802  9072110  6720201  4371522  7684330   7077327   6662863  4712040  5115033 10679339  8842150
           16384       8  1759475  5742507 11284346  9520826  9531390  5237842 11612323   9865258   9531390  5488861  6099827 14210553 11795703
           16384      16  1864347  6106874 13665168  9486653 11505392  5915013 14718855  12073405  11571262  5944691  6143453 16468410 13264245
           16384      32  1872016  5811959 16926789  9683156 13541302  6542963 17451210  13003217  13485497  6086321  6716917 18306615 14498374
           16384      64  1028891  4692092 18384978  9718761 14296287  6759200 19298856  13551983  14522886  6499029  6353028 19369571 15070702
           16384     128  1801211  6063765 18963344  9740803 14473944  6827021 19573705  13733442  15014724  6043501  6043501 19810702 15271654
           16384     256  1798242  5680795 18084997  9421621 14550561  6164394 19047443   9225569  14772645  5661139  5906370 17616739 14894315
           16384     512  1750065  5704846 17639349  9493206 14747283  5953446 18705256   8645258  14775821  5510869  5620394 17790042 14347028
           16384    1024  1812996  5622234 16823193  9683156 14665455  5903833 18513759   8860391  15127100  5630064  5426876 18204771 14975460
           16384    2048  1820875  5410639 15981995  9841241 14510619  5994996 17675645   8333870  15312489  5839120  5793340 17433501 14826830
           16384    4096  1776807  5684554 14575251 10448761 14962417  5820327 17284415   8195714  15860271  6370107  6131941 17031669 15113792
           16384    8192  1835759  5492370 11881359 11553752 14814045  5906370 15783772   7498192  15285241  6068584  8324784 15816467 14852466
           16384   16384  1806989  5393229  8130744 11828188 11949538  5378876 11260308   5276451  11299189  5521940  5597504 11353326 11897816
           32768      64  1852132  6134077 16213531  9706273 14537949  6478445 16507585  13802132  14596621  6315894  5939246 16882721 14902076
           32768     128  1785134  6044512 16855804  9595142 15009486  6412550 17292691  13961973  15148451  5686861  5408894 17264452 15213848
           32768     256  1763240  5614610 16173463  9435078 14734328  5866989 16541360   9413752  14793006  5352649  5242998 16557302 14754892
           32768     512  1770965  5285949 16015155  9489801 14772337  5607051 16567282   8790014  11004090  3496035  3373247 11545799 10947991
           32768    1024  1124651  5453968 16024491  9606543 14936085  5684979 16541360   8659859  15078648  5249607  5070087 16458166 14927973
           32768    2048  1800428  5279857 15611311  9689167 14853759  5696761 16334933   8726390  15170187  5228637  5300423 16205884 14996384
           32768    4096  1783096  5540819 14847341  9852391 14921490  5676995 16007694   8546770  15441181  5455917  5435204 15944553 14940956
           32768    8192  1815099  5380730 13375005 10304465 14868221  5556724 15341213   7863627  14753308  5656434  5607051 15262844 14840928
           32768   16384  1785830  5186413  9564426  9688484 11920318  5142363 11066111   6128333  11401175  5199756  7894341 11393614 11838178
           65536      64  1835029  6262339 14887391  9536489 14527811  6064891 14938362  13961835  14576346  5965386  5952468 15522979 14713669
           65536     128  1790504  6264908 15347900  9484171 15000317  6236763 15456641  14537031  15030666  5531431  5506279 15685970 14747613
           65536     256  1774266  5637502 14952176  9256455 14608883  5721639 15290698   9609500  14773770  5201213  5236986 15290698 14502517
           65536     512  1778836  5464899 15149123  9412077 14749987  5540797 15478400   8918872  14857618  4994347  5016953 15453165 14800020
           65536    1024  1775940  5421996 15233920  9441821 14850393  5526760 15596966   8809679  15006869  4972753  4997070 15518597 14720760
           65536    2048  1787093  5459038 15034777  9502203 14800020  5582772 15456641   8809679  15079315  5038472  5066985 15398627 14921333
           65536    4096  1793296  5470881 14710519  9627676 14853603  5542585 15362482   8787430  15038067  5052084  5096201 15308581 14928626
           65536    8192  1791624  5343265 13910962  9813631 14880944  5325563 14992954   8414851  14922143  4879448  4932686 14935115 14833564
           65536   16384  1779032  5117548 10372827  8692944 11634154  5062599 11250822   6579992  11435232  5459906  5405469 11277594 11630216
          131072      64  1858678  6366097 10332045  6069297 10491562  4631675 10372984   7085321  10632175  5084455  3791293 11047968 10980225
