	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 15:44:25 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
           16384   16384  1782615  5340419  8094352 11347701 11449800  5412770 10396595   5123041  10715976  5298828  5345404 10700958 10944673
           32768      64  1828988  5584269 15150120  9912078 14135729  6153577 15641515  13352914  13867586  5851502  5640880 16046943 14370738
           32768     128  1814500  5702907 16063823  9820010 14551803  5842050 16278824  12245307  14887548  5427906  5066910 15946403 14707523
           32768     256  1763624  5285949 15391035  9657847 14422010  5613922 15821575   9459755  14118304  5094519  5214354 15837984 14701231
           32768     512  1788153  5113473 15604221  9640234 14315356  5427906 15869072   8602943  14721702  5086600  5035905 15249297 14315356
           32768    1024  1772586  5157028 12865436  7028397 11928594  4154141 15618407   8371845  15017687  5131994  4872545 15530166 14333271
           32768    2048  1791487  5217125 15121783  9909219 14352729  5369169 15700480   8716981  15198706  5092254  5074767 15686144 14800972
           32768    4096  1792257  4868231 12730773  9960206 13926604  5323829 15420391   7892075  15291713  5304105  5261464 15334367 14641717
           32768    8192  1795794  5298175 12951514 10428786 13803518  5306563 14556426   7702765  14674546  5437784  5567980 14570315 14551803
           32768   16384  1780486  4662613  9066608  9168216 10806813  4856705 10323815   5815108  10580524  5061498  7513689 10192134 11172258
           65536      64  1828669  6180947 14390906  9998175 14292880  5923351 14356332  13468593  14350336  5726169  5594703 14935115 14650930
           65536     128  1761204  5518328 13194473  9360794 13910962  5528539 14757114  12163382  14704224  5188940  5108038 15319672 14704224
           65536     256  1769332  5264770 13925761  9428542 14118163  5386403 15156641   9207157  14422619  4941997  4898055 14851196 14904343
           65536     512  1770529  4914255 13863953  9710321 14717608  5258425 14780125   8585962  14511705  4811462  4910217 14833564 14305526
           65536    1024  1771625  5113265 14179338  9684662 14467406  5248685 14800020   8647003  14884167  4891866  4743870 14707371 14573255
           65536    2048  1778548  5461750 14834365  9859391 14905151  5479606 14823965   8640208  14589498  4970864  4844448 15017527 14776947
           65536    4096  1781107  5171757 13976033  9871429 14618206  5350233 14528579   8677850  14677528  4914958  4905047 14412788 14435495
           65536    8192  1776525  5175360 13228763  9774199 14157429  5107944 13534912   8247704  14151598  4731214  4753057 13870249 14268397
           65536   16384  1772287  4793840  9704836  8485770 10848528  4812810 10264372   6224899  10616405  5160300  5244579 10236468 10997841
          131072      64  1825183  6032137 14346893  9945506 14441489  5766459 14553890  14092037  14503974  5638995  5436194 14730545 14738838
          131072     128  1786645  6023281 14651635  9987968 14908306  5787829 15037987  12633474  15030997  5316026  5349026 15196361 15223292
          131072     256  1780073  5656924 14454399  9735049 14612302  5495865 15107412   9618547  15081716  5059934  4983382 14766947 14957385
          131072     512  1790258  5368509 14264253  9688896 14393847  5248776 14832286   8842526  14937066  4918291  4848926 14594070 14543879
          131072    1024  1812641  5190792 14785216  9731430 14529657  5206424 14635253   8856771  14694322  4820947  4812464 14561985 14633695
          131072    2048  1798934  5213683 14638370  9841706 14628632  5307404 14492885   8729496  14925305  4775634  4770413 14439972 14581297
          131072    4096  1794624  5225328 14234337  9843997 14708868  5278966 14268695   8792603  14268695  4782947  4812844 14104329 14449460
          131072    8192  1792388  5158257 13569926  9788958 14508567  5194029 13889103   8449747  14439972  4504503  4534262 14111932 14568545
          131072   16384  1791775  4872175 10357350  8426305 11248015  4918071 10764791   6560816  10826908  4648083  4634955 10854912 11134113
          262144      64  1652675  4046371 14028175 10022730 14388536  3672987 13752868  14039280  14382137  4067838  4054069 14426483 14938650
          262144     128  1601778  4234610 14320136  9945488 14879215  4358474 14241676  13108492  14817855  4135417  4208643 14341242 14733665
